iter	Passed	Remaining
718	28112	125820
719	28155	125799
720	28196	125769
721	28234	125725
722	28275	125697
723	28335	125747
724	28375	125712
725	28415	125677
726	28454	125638
727	28492	125594
728	28547	125626
729	28585	125580
730	28626	125549
731	28666	125514
732	28709	125490
733	28765	125524
734	28806	125495
735	28848	125468
736	28891	125445
737	28928	125394
738	28982	125420
739	29019	125372
740	29056	125324
741	29098	125295
742	29135	125247
743	29189	125270
744	29230	125240
745	29271	125208
746	29311	125170
747	29346	125115
748	29402	125148
749	29440	125102
750	29478	125058
751	29517	125016
752	29558	124985
753	29615	125020
754	29656	124987
755	29697	124956
756	29736	124918
757	29776	124878
758	29828	124892
759	29869	124861
760	29908	124820
761	29949	124789
762	29989	124753
763	30040	124763
764	30081	124729
765	30122	124696
766	30159	124648
767	30200	124614
768	30255	124641
769	30293	124597
770	30332	124557
771	30372	124518
772	30413	124487
773	30465	124497
774	30506	124468
775	30547	124435
776	30583	124381
777	30624	124348
778	30683	124388
779	30727	124368
780	30767	124329
781	30808	124297
782	30845	124248
783	30900	124273
784	30941	124238
785	30977	124186
786	31017	124150
787	31058	124117
788	31117	124155
789	31156	124111
790	31195	124072
791	31235	124035
792	31274	123994
793	31330	124018
794	31368	123974
795	31409	123941
796	31451	123910
797	31491	123874
798	31548	123905
799	31590	123875
800	31632	123844
801	31671	123801
802	31711	123765
803	31768	123794
804	31810	123763
805	31852	123732
806	31891	123693
807	31930	123649
808	31991	123694
809	32004	123551
810	32047	123528
811	32074	123438
812	32114	123401
813	32154	123364
814	32214	123402
815	32254	123367
816	32297	123340
817	32337	123302
818	32379	123269
819	32437	123301
820	32477	123265
821	32518	123229
822	32558	123190
823	32597	123148
824	32654	123175
825	32693	123134
826	32731	123090
827	32771	123052
828	32811	123012
829	32868	123037
830	32907	122997
831	32949	122966
832	32988	122923
833	33028	122885
834	33088	122923
835	33130	122891
836	33173	122863
837	33212	122824
838	33250	122776
839	33307	122803
840	33348	122768
841	33390	122734
842	33428	122689
843	33467	122648
844	33520	122657
845	33562	122624
846	33573	122480
847	33613	122442
848	33653	122403
849	33692	122363
850	33748	122384
851	33787	122339
852	33826	122300
853	33867	122265
854	33905	122217
855	33964	122246
856	34005	122212
857	34044	122170
